region,sex,age,marst,educ,incwage
east south central div,male,42,"married, spouse present",5+ years of college,138000
east south central div,female,41,"married, spouse present",4 years of college,0
east south central div,female,63,"married, spouse present",grade 12,26000
east south central div,male,56,"married, spouse present",grade 12,99000
east south central div,female,54,"married, spouse present",n/a or no schooling,0
east south central div,female,21,never married/single,grade 11,0
east south central div,male,37,never married/single,4 years of college,65000
east south central div,male,46,divorced,1 year of college,35000
east south central div,male,64,divorced,grade 12,0
east south central div,male,34,never married/single,grade 12,0
east south central div,female,48,divorced,1 year of college,49000
east south central div,female,38,never married/single,grade 12,31000
east south central div,female,22,never married/single,1 year of college,0
east south central div,female,48,"married, spouse present",4 years of college,50000
east south central div,male,52,"married, spouse present",2 years of college,39000
east south central div,male,46,widowed,2 years of college,28000
east south central div,female,22,never married/single,2 years of college,19300
east south central div,female,42,"married, spouse present",1 year of college,0
east south central div,male,36,"married, spouse present",grade 12,368000
east south central div,female,42,"married, spouse present",4 years of college,6000
east south central div,male,48,"married, spouse present",5+ years of college,90000
east south central div,male,64,"married, spouse present",5+ years of college,185000
east south central div,female,51,"married, spouse present",4 years of college,800
east south central div,female,20,never married/single,grade 12,9000
east south central div,female,48,widowed,1 year of college,38400
east south central div,female,24,never married/single,grade 12,18500
east south central div,female,32,never married/single,grade 12,45000
east south central div,female,32,never married/single,grade 12,0
east south central div,female,31,never married/single,grade 12,2600
east south central div,female,31,never married/single,grade 12,45000
east south central div,female,55,"married, spouse present",grade 12,0
east south central div,male,63,"married, spouse present",1 year of college,0
east south central div,female,19,never married/single,grade 11,1200
east south central div,female,18,never married/single,grade 9,0
east south central div,male,49,"married, spouse present",4 years of college,2500
east south central div,female,46,"married, spouse present",5+ years of college,70000
east south central div,male,61,widowed,grade 12,43000
east south central div,female,38,separated,grade 10,14700
east south central div,female,56,"married, spouse present",4 years of college,0
east south central div,male,56,"married, spouse present",1 year of college,10000
east south central div,male,59,"married, spouse present",2 years of college,60000
east south central div,female,55,"married, spouse present",4 years of college,68000
east south central div,female,30,never married/single,1 year of college,26000
east south central div,female,61,"married, spouse present",1 year of college,15600
east south central div,female,49,divorced,5+ years of college,128000
east south central div,male,65,"married, spouse present",4 years of college,124000
east south central div,female,62,"married, spouse present",2 years of college,0
east south central div,female,60,divorced,5+ years of college,112000
east south central div,male,56,divorced,grade 12,80000
east south central div,male,42,never married/single,grade 12,20600
east south central div,female,37,never married/single,grade 12,0
east south central div,female,48,never married/single,2 years of college,45000
east south central div,female,51,divorced,n/a or no schooling,12000
east south central div,female,40,"married, spouse absent",5+ years of college,58000
east south central div,female,18,never married/single,grade 11,2500
east south central div,female,59,"married, spouse present",grade 12,0
east south central div,male,60,"married, spouse present",1 year of college,46800
east south central div,male,52,"married, spouse present",grade 12,0
east south central div,female,51,"married, spouse present",grade 12,0
east south central div,male,64,never married/single,grade 12,0
east south central div,female,61,"married, spouse present",grade 12,0
east south central div,male,61,"married, spouse present",grade 12,0
east south central div,female,57,"married, spouse present",grade 12,22000
east south central div,male,61,"married, spouse present",grade 11,0
east south central div,male,51,separated,1 year of college,900
east south central div,female,47,divorced,grade 12,15000
east south central div,female,62,"married, spouse present",grade 12,36000
east south central div,male,27,never married/single,grade 12,4500
east south central div,female,59,"married, spouse present",grade 12,0
east south central div,male,63,"married, spouse present",grade 12,0
east south central div,male,34,never married/single,grade 12,2500
east south central div,male,63,"married, spouse present",grade 10,0
east south central div,female,59,"married, spouse present",grade 12,0
east south central div,female,34,never married/single,4 years of college,5000
east south central div,male,52,"married, spouse present",grade 11,0
east south central div,female,48,"married, spouse present",grade 10,12000
east south central div,male,20,never married/single,grade 10,800
east south central div,male,18,never married/single,grade 11,7800
east south central div,female,65,divorced,2 years of college,66000
east south central div,male,63,"married, spouse present",1 year of college,0
east south central div,female,63,"married, spouse present",2 years of college,0
east south central div,male,26,never married/single,2 years of college,27000
east south central div,female,63,never married/single,4 years of college,0
east south central div,female,57,"married, spouse present",grade 12,15000
east south central div,male,63,"married, spouse present",grade 12,30000
east south central div,male,37,"married, spouse present",4 years of college,127000
east south central div,female,39,"married, spouse present",4 years of college,55000
east south central div,male,50,"married, spouse present",n/a or no schooling,0
east south central div,female,49,"married, spouse present",n/a or no schooling,0
east south central div,female,52,"married, spouse present",4 years of college,130000
east south central div,female,51,"married, spouse present",4 years of college,60000
east south central div,male,56,divorced,grade 12,24000
east south central div,male,25,never married/single,grade 12,17000
east south central div,female,19,never married/single,grade 12,2600
east south central div,female,65,"married, spouse present",grade 12,0
east south central div,male,51,"married, spouse present",grade 12,22000
east south central div,female,46,"married, spouse present",grade 11,0
east south central div,male,40,"married, spouse present",grade 12,75000
east south central div,female,40,"married, spouse present",2 years of college,41600
east south central div,male,52,never married/single,grade 12,0
east south central div,male,42,"married, spouse present",4 years of college,97000
east south central div,female,46,"married, spouse present",4 years of college,83000
east south central div,female,49,"married, spouse present",5+ years of college,30000
east south central div,male,51,"married, spouse present",5+ years of college,39000
east south central div,female,18,never married/single,grade 11,170
east south central div,female,61,"married, spouse present",1 year of college,0
east south central div,male,54,"married, spouse present",grade 12,0
east south central div,female,21,never married/single,grade 12,4500
east south central div,female,54,divorced,1 year of college,0
east south central div,male,56,widowed,grade 10,0
east south central div,female,46,separated,2 years of college,30000
east south central div,female,23,never married/single,1 year of college,19000
east south central div,male,22,never married/single,grade 12,12000
east south central div,female,64,divorced,grade 10,15000
east south central div,male,64,"married, spouse present",grade 12,102000
east south central div,female,47,"married, spouse present",grade 12,60000
east south central div,female,58,never married/single,grade 12,30000
east south central div,male,51,divorced,grade 12,10000
east south central div,male,29,never married/single,grade 12,0
east south central div,male,64,"married, spouse present",1 year of college,54000
east south central div,female,61,"married, spouse present",grade 12,0
east south central div,male,34,never married/single,2 years of college,0
east south central div,female,28,"married, spouse present",grade 12,23000
east south central div,male,28,"married, spouse present",grade 12,24000
east south central div,female,62,widowed,2 years of college,0
east south central div,male,49,never married/single,grade 12,0
east south central div,female,26,"married, spouse absent",grade 12,35500
east south central div,male,24,"married, spouse absent",grade 12,32000
east south central div,female,63,"married, spouse present",1 year of college,41000
east south central div,male,65,"married, spouse present",1 year of college,124000
east south central div,male,52,"married, spouse present",1 year of college,30000
east south central div,female,62,"married, spouse present",1 year of college,0
east south central div,male,30,never married/single,grade 12,15000
east south central div,male,56,"married, spouse present",4 years of college,82000
east south central div,female,53,"married, spouse present",4 years of college,0
east south central div,female,40,divorced,1 year of college,12000
east south central div,female,21,never married/single,1 year of college,2200
east south central div,male,53,"married, spouse present",grade 12,46000
east south central div,female,54,"married, spouse present",grade 12,30000
east south central div,male,34,never married/single,grade 12,10000
east south central div,male,31,never married/single,4 years of college,69000
east south central div,male,55,"married, spouse present",1 year of college,50000
east south central div,female,54,"married, spouse present",4 years of college,50000
east south central div,female,23,never married/single,4 years of college,0
east south central div,female,22,never married/single,2 years of college,10000
east south central div,female,45,divorced,grade 12,32000
east south central div,female,19,never married/single,grade 12,0
east south central div,male,39,divorced,1 year of college,40000
east south central div,male,65,"married, spouse present",4 years of college,0
east south central div,female,57,never married/single,grade 12,0
east south central div,female,59,divorced,grade 12,12000
east south central div,female,65,divorced,grade 12,0
east south central div,male,52,divorced,grade 12,0
east south central div,male,64,"married, spouse present",1 year of college,0
east south central div,female,55,"married, spouse present",2 years of college,65000
east south central div,male,23,"married, spouse present",grade 12,35000
east south central div,female,25,"married, spouse present",grade 12,0
east south central div,female,52,"married, spouse present",4 years of college,36000
east south central div,male,59,"married, spouse present",grade 12,50000
east south central div,male,33,never married/single,grade 12,7000
east south central div,female,31,never married/single,n/a or no schooling,0
east south central div,female,35,"married, spouse present",4 years of college,62000
east south central div,male,40,"married, spouse present",grade 12,0
east south central div,female,62,"married, spouse present",grade 12,0
east south central div,male,64,"married, spouse present",grade 12,0
east south central div,male,59,"married, spouse present",2 years of college,100000
east south central div,female,56,"married, spouse present",grade 12,32000
east south central div,female,59,divorced,1 year of college,18000
east south central div,male,64,"married, spouse present",grade 12,43000
east south central div,female,60,"married, spouse present",2 years of college,60000
east south central div,female,37,never married/single,2 years of college,60000
east south central div,female,55,never married/single,grade 12,30000
east south central div,male,46,divorced,grade 12,0
east south central div,female,54,divorced,2 years of college,40000
east south central div,male,60,divorced,1 year of college,0
east south central div,female,33,never married/single,1 year of college,5900
east south central div,female,43,divorced,"grade 5, 6, 7, or 8",0
east south central div,male,22,never married/single,1 year of college,20000
east south central div,male,21,never married/single,grade 10,20000
east south central div,female,50,"married, spouse absent",2 years of college,35000
east south central div,female,63,widowed,4 years of college,0
east south central div,male,37,"married, spouse present",grade 12,42000
east south central div,female,41,"married, spouse present",grade 12,11000
east south central div,male,42,"married, spouse present",2 years of college,40000
east south central div,female,39,"married, spouse present",4 years of college,10000
east south central div,male,34,"married, spouse present",2 years of college,37000
east south central div,female,33,"married, spouse present",2 years of college,180000
east south central div,female,37,"married, spouse absent",1 year of college,0
east south central div,male,60,never married/single,grade 12,0
east south central div,male,57,never married/single,grade 12,29000
east south central div,female,38,"married, spouse present",1 year of college,40000
east south central div,male,37,"married, spouse present",grade 12,40000
east south central div,female,64,separated,1 year of college,0
east south central div,female,62,divorced,4 years of college,39000
east south central div,female,55,"married, spouse present",1 year of college,0
east south central div,male,51,"married, spouse present",grade 12,30000
east south central div,male,59,"married, spouse present",2 years of college,3500
east south central div,female,43,"married, spouse present",grade 12,0
east south central div,male,24,never married/single,2 years of college,4000
east south central div,male,21,never married/single,2 years of college,3500
east south central div,male,49,"married, spouse present",2 years of college,150000
east south central div,female,45,"married, spouse present",2 years of college,65000
east south central div,female,45,never married/single,4 years of college,110000
east south central div,male,44,divorced,1 year of college,33000
east south central div,male,26,never married/single,4 years of college,63000
east south central div,male,41,never married/single,1 year of college,15700
east south central div,female,37,"married, spouse present",grade 12,36000
east south central div,male,37,"married, spouse present",grade 12,8000
east south central div,male,52,divorced,grade 12,40000
east south central div,female,50,never married/single,grade 12,20800
east south central div,male,31,never married/single,1 year of college,40000
east south central div,female,42,"married, spouse present",grade 12,50000
east south central div,male,48,"married, spouse present",grade 12,82000
east south central div,female,22,never married/single,1 year of college,17400
east south central div,female,19,never married/single,grade 12,0
east south central div,female,35,never married/single,1 year of college,27000
east south central div,female,42,"married, spouse present",5+ years of college,18000
east south central div,male,46,"married, spouse present",4 years of college,368000
east south central div,female,21,never married/single,1 year of college,3700
east south central div,male,22,never married/single,1 year of college,0
east south central div,male,24,never married/single,1 year of college,10000
east south central div,female,22,never married/single,grade 12,24400
east south central div,male,35,never married/single,2 years of college,0
east south central div,female,39,never married/single,2 years of college,36500
east south central div,male,54,"married, spouse present",grade 12,95000
east south central div,female,53,"married, spouse present",grade 12,66000
east south central div,female,19,never married/single,grade 12,3000
east south central div,male,37,divorced,2 years of college,30000
east south central div,female,33,never married/single,grade 12,9000
east south central div,male,40,"married, spouse present",4 years of college,52000
east south central div,female,32,"married, spouse present",4 years of college,37000
east south central div,female,38,"married, spouse present",5+ years of college,54000
east south central div,male,46,"married, spouse present",grade 12,25400
east south central div,male,61,never married/single,2 years of college,0
east south central div,male,47,"married, spouse present",1 year of college,65000
east south central div,female,44,"married, spouse present",grade 12,25000
east south central div,female,20,never married/single,grade 12,20000
east south central div,female,18,never married/single,grade 11,10000
east south central div,female,38,divorced,1 year of college,42000
east south central div,male,59,"married, spouse present",4 years of college,0
east south central div,female,59,"married, spouse present",grade 12,0
east south central div,male,59,divorced,grade 12,21400
east south central div,male,59,divorced,2 years of college,55000
east south central div,female,58,"married, spouse present",grade 12,0
east south central div,male,56,"married, spouse present",2 years of college,75000
east south central div,male,31,never married/single,grade 12,37000
east south central div,male,22,never married/single,grade 12,1200
east south central div,female,36,"married, spouse absent",grade 12,0
east south central div,male,40,"married, spouse absent",grade 12,0
east south central div,female,51,divorced,4 years of college,48000
east south central div,male,50,divorced,1 year of college,0
east south central div,male,60,divorced,grade 12,52000
east south central div,female,42,"married, spouse present",4 years of college,19000
east south central div,male,44,"married, spouse present",grade 12,30000
east south central div,female,60,divorced,4 years of college,0
east south central div,male,63,"married, spouse present",1 year of college,27600
east south central div,female,55,"married, spouse present",2 years of college,0
east south central div,female,33,never married/single,4 years of college,22000
east south central div,male,27,never married/single,4 years of college,40000
east south central div,male,35,"married, spouse present",grade 12,40000
east south central div,female,37,"married, spouse present",1 year of college,40000
east south central div,male,54,divorced,4 years of college,135000
east south central div,female,47,"married, spouse present",5+ years of college,60000
east south central div,male,53,"married, spouse present",grade 12,0
east south central div,male,23,never married/single,grade 12,20000
east south central div,male,42,divorced,1 year of college,6000
east south central div,female,58,widowed,1 year of college,55000
east south central div,female,63,divorced,1 year of college,38000
east south central div,female,26,never married/single,1 year of college,12000
east south central div,female,34,never married/single,grade 12,28000
east south central div,male,51,separated,n/a or no schooling,27800
east south central div,male,50,divorced,n/a or no schooling,72000
east south central div,female,59,never married/single,5+ years of college,0
east south central div,female,60,"married, spouse present",grade 12,0
east south central div,male,64,"married, spouse present",1 year of college,0
east south central div,male,57,never married/single,grade 12,26000
east south central div,male,50,divorced,1 year of college,5000
east south central div,female,49,divorced,grade 12,14000
east south central div,male,62,widowed,grade 12,46000
east south central div,male,33,"married, spouse present",grade 12,50000
east south central div,female,32,"married, spouse present",grade 9,0
east south central div,male,50,"married, spouse present","grade 5, 6, 7, or 8",0
east south central div,female,42,"married, spouse present","grade 5, 6, 7, or 8",0
east south central div,female,20,separated,grade 11,0
east south central div,male,20,"married, spouse absent",grade 12,6000
east south central div,male,55,"married, spouse present",grade 12,0
east south central div,female,55,"married, spouse present",grade 10,0
east south central div,female,64,divorced,grade 11,0
east south central div,female,47,"married, spouse present",grade 12,18700
east south central div,male,50,"married, spouse present",grade 9,38500
east south central div,male,26,never married/single,2 years of college,14900
east south central div,female,26,"married, spouse present",5+ years of college,55000
east south central div,male,26,"married, spouse present",5+ years of college,45000
east south central div,female,48,"married, spouse present",grade 12,90000
east south central div,male,51,"married, spouse present",grade 12,70000
east south central div,female,18,never married/single,grade 11,0
east south central div,male,37,"married, spouse present",2 years of college,20000
east south central div,female,29,"married, spouse present",4 years of college,38000
east south central div,male,39,"married, spouse present",5+ years of college,200000
east south central div,female,38,"married, spouse present",4 years of college,42000
east south central div,male,45,never married/single,4 years of college,38000
east south central div,female,57,divorced,5+ years of college,12000
east south central div,female,40,never married/single,grade 12,500
east south central div,male,19,never married/single,grade 12,2700
east south central div,male,57,"married, spouse present",grade 12,195000
east south central div,female,54,"married, spouse present",1 year of college,29500
east south central div,male,44,"married, spouse present",4 years of college,98000
east south central div,female,49,"married, spouse present",grade 12,30900
east south central div,female,20,never married/single,grade 12,4000
east south central div,female,65,divorced,grade 12,0
east south central div,male,60,never married/single,grade 12,0
east south central div,female,40,never married/single,grade 12,5000
east south central div,male,20,never married/single,2 years of college,3000
east south central div,female,64,"married, spouse present",5+ years of college,0
east south central div,male,22,"married, spouse present",1 year of college,19700
east south central div,female,23,"married, spouse present",2 years of college,22000
east south central div,female,42,"married, spouse present",grade 12,3600
east south central div,male,32,"married, spouse present",grade 9,0
east south central div,male,63,"married, spouse present",4 years of college,150000
east south central div,female,52,"married, spouse present",4 years of college,27000
east south central div,male,30,divorced,grade 12,40000
east south central div,male,29,never married/single,1 year of college,31200
east south central div,female,41,divorced,4 years of college,12000
east south central div,male,38,divorced,grade 12,36000
east south central div,female,22,never married/single,grade 12,15000
east south central div,female,19,never married/single,grade 12,4000
east south central div,male,31,divorced,grade 12,15400
east south central div,female,31,never married/single,grade 12,0
east south central div,male,56,never married/single,1 year of college,12000
east south central div,male,51,never married/single,4 years of college,3500
east south central div,male,62,"married, spouse present",grade 11,43000
east south central div,female,62,"married, spouse present",grade 11,24800
east south central div,male,55,divorced,grade 12,0
east south central div,female,47,divorced,1 year of college,44000
east south central div,female,27,never married/single,4 years of college,38000
east south central div,female,65,widowed,1 year of college,0
east south central div,female,44,divorced,1 year of college,42000
east south central div,female,34,"married, spouse present",grade 12,39000
east south central div,male,37,"married, spouse present",grade 12,65000
east south central div,male,43,"married, spouse present",grade 12,46000
east south central div,female,43,"married, spouse present",grade 12,0
east south central div,female,22,never married/single,grade 12,0
east south central div,male,44,"married, spouse present",1 year of college,39000
east south central div,female,44,"married, spouse present",2 years of college,65000
east south central div,female,60,"married, spouse present",4 years of college,61000
east south central div,male,51,divorced,grade 12,0
east south central div,male,60,"married, spouse present",4 years of college,12000
east south central div,female,55,"married, spouse present",5+ years of college,100000
east south central div,male,49,"married, spouse present",1 year of college,0
east south central div,female,48,"married, spouse present",grade 12,24000
east south central div,female,21,never married/single,grade 12,5000
east south central div,male,19,never married/single,grade 12,3000
east south central div,female,49,never married/single,1 year of college,11900
east south central div,female,59,divorced,grade 12,37000
east south central div,female,45,never married/single,grade 12,3100
east south central div,female,49,"married, spouse present",grade 12,0
east south central div,male,53,"married, spouse present",grade 12,30000
east south central div,male,52,"married, spouse present",2 years of college,40000
east south central div,female,49,"married, spouse present",5+ years of college,0
east south central div,male,57,never married/single,grade 12,0
east south central div,female,46,divorced,grade 12,40400
east south central div,female,45,divorced,1 year of college,0
east south central div,female,64,divorced,grade 12,0
east south central div,female,43,"married, spouse present",2 years of college,100000
east south central div,male,46,"married, spouse present",1 year of college,85000
east south central div,female,24,never married/single,1 year of college,5000
east south central div,female,20,never married/single,grade 12,14100
east south central div,female,61,"married, spouse present",grade 12,0
east south central div,male,64,"married, spouse present",grade 12,0
pacific division,male,46,never married/single,grade 12,0
pacific division,male,31,"married, spouse absent",grade 12,50000
pacific division,female,57,divorced,grade 12,0
pacific division,male,55,never married/single,1 year of college,37000
pacific division,female,38,divorced,grade 11,0
pacific division,male,23,never married/single,1 year of college,4000
pacific division,female,50,divorced,1 year of college,40300
pacific division,male,41,"married, spouse absent",grade 12,14000
pacific division,female,23,never married/single,1 year of college,22300
pacific division,male,51,never married/single,grade 11,30000
pacific division,female,28,divorced,4 years of college,80000
pacific division,male,28,never married/single,1 year of college,81000
pacific division,male,51,divorced,1 year of college,0
pacific division,female,63,"married, spouse present",grade 12,13700
pacific division,male,27,never married/single,grade 12,28000
pacific division,male,46,"married, spouse present",grade 12,128000
pacific division,female,48,"married, spouse present",2 years of college,7500
pacific division,male,20,never married/single,1 year of college,0
pacific division,female,44,"married, spouse present",5+ years of college,56000
pacific division,male,47,"married, spouse present",grade 12,100000
pacific division,female,18,never married/single,grade 10,4000
pacific division,male,29,never married/single,grade 12,20100
pacific division,male,57,"married, spouse absent",grade 12,15000
pacific division,female,64,"married, spouse present",4 years of college,0
pacific division,female,47,"married, spouse present",2 years of college,34800
pacific division,male,54,"married, spouse present",2 years of college,12300
pacific division,male,49,divorced,4 years of college,0
pacific division,male,56,divorced,grade 12,0
pacific division,female,55,never married/single,1 year of college,6900
pacific division,female,32,never married/single,grade 11,10000
pacific division,female,25,never married/single,grade 12,4000
pacific division,female,21,never married/single,grade 12,800
pacific division,female,56,"married, spouse present",grade 11,26600
pacific division,male,56,"married, spouse present",grade 12,0
pacific division,male,27,never married/single,grade 12,0
pacific division,female,26,never married/single,grade 12,0
pacific division,male,22,never married/single,grade 12,2400
pacific division,female,48,divorced,grade 12,67000
pacific division,female,58,divorced,grade 12,13200
pacific division,male,60,"married, spouse present",1 year of college,0
pacific division,female,52,"married, spouse present",grade 12,65000
pacific division,male,60,never married/single,grade 12,20000
pacific division,female,53,never married/single,grade 10,0
pacific division,female,35,"married, spouse present",5+ years of college,85000
pacific division,male,31,"married, spouse present",1 year of college,130000
pacific division,female,31,never married/single,grade 10,0
pacific division,male,32,never married/single,grade 12,345000
pacific division,male,31,"married, spouse present",grade 12,35000
pacific division,female,28,"married, spouse present",4 years of college,52000
pacific division,female,58,"married, spouse absent",5+ years of college,87000
pacific division,female,28,"married, spouse present",4 years of college,110000
pacific division,female,31,"married, spouse present",4 years of college,65000
pacific division,male,34,"married, spouse present",2 years of college,62000
pacific division,female,32,"married, spouse present",grade 12,15000
pacific division,male,54,"married, spouse present",5+ years of college,0
pacific division,female,54,"married, spouse present",4 years of college,100000
pacific division,female,64,"married, spouse present",grade 12,3500
pacific division,female,46,never married/single,grade 12,0
pacific division,female,18,never married/single,grade 11,0
pacific division,female,54,"married, spouse present",4 years of college,72000
pacific division,male,57,"married, spouse present",1 year of college,76000
pacific division,male,26,"married, spouse present",4 years of college,120000
pacific division,male,23,never married/single,1 year of college,15600
pacific division,female,25,"married, spouse present",4 years of college,20000
pacific division,male,22,"married, spouse absent",1 year of college,0
pacific division,female,21,never married/single,1 year of college,15000
pacific division,female,59,"married, spouse present",grade 12,0
pacific division,female,31,never married/single,grade 12,22500
pacific division,male,27,never married/single,grade 12,0
pacific division,male,31,never married/single,grade 12,2000
pacific division,female,26,never married/single,grade 12,20000
pacific division,male,63,divorced,4 years of college,89000
pacific division,female,33,never married/single,4 years of college,70000
pacific division,female,53,divorced,2 years of college,0
pacific division,female,53,"married, spouse present",5+ years of college,140000
pacific division,male,45,"married, spouse present",grade 12,10000
pacific division,female,45,divorced,grade 12,18200
pacific division,male,54,never married/single,grade 12,70000
pacific division,female,52,widowed,1 year of college,50000
pacific division,male,25,never married/single,grade 11,0
pacific division,male,35,"married, spouse absent",4 years of college,45000
pacific division,male,54,never married/single,grade 12,400
pacific division,female,64,separated,grade 10,18000
mountain division,male,49,divorced,1 year of college,0
mountain division,female,20,never married/single,grade 12,2000
mountain division,female,20,never married/single,grade 12,9000
mountain division,male,42,never married/single,1 year of college,0
mountain division,male,22,never married/single,grade 11,0
mountain division,male,34,divorced,1 year of college,0
mountain division,male,24,never married/single,4 years of college,3500
mountain division,male,38,never married/single,1 year of college,20000
mountain division,male,19,never married/single,grade 12,600
mountain division,female,19,never married/single,grade 12,10000
mountain division,male,27,never married/single,grade 12,1800
mountain division,female,21,never married/single,1 year of college,11100
mountain division,female,61,divorced,grade 12,7200
mountain division,male,50,never married/single,2 years of college,5100
mountain division,female,19,never married/single,grade 12,0
mountain division,male,23,never married/single,grade 10,520
mountain division,male,65,divorced,grade 12,15000
mountain division,male,28,never married/single,grade 11,0
mountain division,male,26,never married/single,grade 12,0
mountain division,male,54,never married/single,grade 12,24600
mountain division,male,42,divorced,grade 12,900
mountain division,male,52,never married/single,1 year of college,70000
mountain division,male,40,never married/single,1 year of college,500
mountain division,male,50,never married/single,5+ years of college,24000
mountain division,female,21,never married/single,1 year of college,4800
mountain division,male,45,divorced,1 year of college,0
mountain division,male,61,divorced,grade 11,0
mountain division,male,20,never married/single,grade 12,0
mountain division,female,29,never married/single,grade 12,0
mountain division,female,46,never married/single,n/a or no schooling,0
mountain division,male,25,never married/single,4 years of college,0
mountain division,female,41,never married/single,grade 9,0
mountain division,female,18,never married/single,grade 9,0
mountain division,male,39,never married/single,grade 12,0
mountain division,male,23,never married/single,grade 12,0
mountain division,male,36,never married/single,1 year of college,20000
mountain division,female,22,never married/single,1 year of college,4500
mountain division,male,64,never married/single,grade 12,0
